Validation: Loss: 0.856959	R: 0.365490
Validation: Loss: 0.850758	R: 0.368884
Validation: Loss: 0.854886	R: 0.377619
Validation: Loss: 0.859469	R: 0.380429
Validation: Loss: 0.842544	R: 0.370984
Validation: Loss: 0.856089	R: 0.374799
Validation: Loss: 0.885703	R: 0.367103
Validation: Loss: 0.866343	R: 0.382762
Validation: Loss: 0.843939	R: 0.366687
Validation: Loss: 0.860551	R: 0.374959
Validation: Loss: 0.860734	R: 0.379362
Validation: Loss: 0.832104	R: 0.385157
Validation: Loss: 0.842056	R: 0.394879
Validation: Loss: 0.847642	R: 0.396022
Validation: Loss: 0.798640	R: 0.407541
Validation: Loss: 0.822549	R: 0.416046
Validation: Loss: 0.839353	R: 0.423688
Validation: Loss: 0.816436	R: 0.437152
Validation: Loss: 0.808219	R: 0.434837
Validation: Loss: 0.843162	R: 0.421742
Validation: Loss: 0.829611	R: 0.429306
Validation: Loss: 0.854949	R: 0.409782
Validation: Loss: 0.929079	R: 0.424292
Validation: Loss: 0.820434	R: 0.427177
Validation: Loss: 0.857601	R: 0.441156
Validation: Loss: 0.875092	R: 0.434731
Validation: Loss: 0.901968	R: 0.410505
Validation: Loss: 0.809655	R: 0.431294
Validation: Loss: 0.951332	R: 0.411803
Validation: Loss: 0.978243	R: 0.387084
Validation: Loss: 0.826883	R: 0.433830
Validation: Loss: 0.881693	R: 0.438702
Validation: Loss: 0.833060	R: 0.444118
Validation: Loss: 0.864875	R: 0.427506
Validation: Loss: 0.846917	R: 0.457001
Validation: Loss: 0.852620	R: 0.428426
Validation: Loss: 0.879678	R: 0.459661
Validation: Loss: 0.869151	R: 0.461249
Validation: Loss: 0.801190	R: 0.456942
Validation: Loss: 0.878085	R: 0.455362
Validation: Loss: 0.792285	R: 0.454195
Validation: Loss: 0.839307	R: 0.457120
Validation: Loss: 0.753913	R: 0.508689
Validation: Loss: 0.827487	R: 0.487496
Validation: Loss: 0.787938	R: 0.471963
Validation: Loss: 0.818788	R: 0.470687
Validation: Loss: 0.813598	R: 0.442755
Validation: Loss: 0.820182	R: 0.439932
Validation: Loss: 0.767545	R: 0.455684
Validation: Loss: 0.781483	R: 0.467222
Validation: Loss: 0.792915	R: 0.491880
Validation: Loss: 0.787361	R: 0.486838
Validation: Loss: 0.747122	R: 0.490770
Validation: Loss: 0.773580	R: 0.489426
Validation: Loss: 0.840690	R: 0.484538
Validation: Loss: 0.840144	R: 0.468810
Validation: Loss: 0.797076	R: 0.477532
Validation: Loss: 0.753490	R: 0.474456
Validation: Loss: 0.765319	R: 0.470077
Validation: Loss: 0.841900	R: 0.453275
Validation: Loss: 0.797742	R: 0.482299
Validation: Loss: 0.845502	R: 0.473351
Validation: Loss: 0.888378	R: 0.451796
Validation: Loss: 0.770076	R: 0.462387
Validation: Loss: 0.803795	R: 0.466038
Validation: Loss: 0.806265	R: 0.475087
Validation: Loss: 0.778052	R: 0.466792
Validation: Loss: 0.785811	R: 0.493152
Validation: Loss: 0.805012	R: 0.489056
Validation: Loss: 0.810276	R: 0.498622
Validation: Loss: 0.818592	R: 0.491775
Validation: Loss: 0.829300	R: 0.499187
Validation: Loss: 0.777844	R: 0.502617
Validation: Loss: 0.788338	R: 0.492858
Validation: Loss: 0.805408	R: 0.493277
Validation: Loss: 0.758039	R: 0.516731
Validation: Loss: 0.817343	R: 0.496512
Validation: Loss: 0.813835	R: 0.485123
Validation: Loss: 0.790948	R: 0.485477
Validation: Loss: 0.864708	R: 0.477881
Validation: Loss: 0.791061	R: 0.477245
Validation: Loss: 0.788908	R: 0.475692
Validation: Loss: 0.841123	R: 0.470878
Validation: Loss: 0.753223	R: 0.504539
Validation: Loss: 0.907376	R: 0.466812
Validation: Loss: 0.819132	R: 0.496985
Validation: Loss: 0.796970	R: 0.468835
Validation: Loss: 0.911095	R: 0.478477
Validation: Loss: 0.846642	R: 0.456946
Validation: Loss: 0.748739	R: 0.484960
Validation: Loss: 0.819724	R: 0.484362
Validation: Loss: 0.754579	R: 0.488677
Validation: Loss: 0.814151	R: 0.488886
Validation: Loss: 0.756977	R: 0.490860
Validation: Loss: 0.827589	R: 0.467586
Validation: Loss: 0.833154	R: 0.472978
Validation: Loss: 0.886895	R: 0.464430
Validation: Loss: 0.920171	R: 0.477343
Validation: Loss: 0.839369	R: 0.480748
